s_no,asi_circle,monument,period,year_index,domestic_visitors,foreign_visitors,total_visitors,flag_source_anomaly,flag_likely_extraction_error,flag_incomplete_pair,exclude_from_training,covid_year,recovery_year,post_covid
69,Rajkot,"Buddhisht Caves, Junagadh",2022-23,3,0.0,0.0,0.0,False,False,False,False,0,0,1
69,Rajkot,"Buddhisht Caves, Junagadh",2023-24,4,18341.0,165.0,18506.0,False,False,False,False,0,0,1
69,Rajkot,"Buddhisht Caves, Junagadh",2024-25,5,42610.0,242.0,42852.0,False,False,False,False,0,0,1
45,Bhopal,"Buddhist Cave No.01 to 51, Dhamnar, Tehsil Garoth",2019-20,0,32578.0,4.0,32582.0,False,False,False,False,0,0,0
45,Bhopal,"Buddhist Cave No.01 to 51, Dhamnar, Tehsil Garoth",2020-21,1,12303.0,13.0,12316.0,False,False,False,False,1,0,0
45,Bhopal,"Buddhist Cave No.01 to 51, Dhamnar, Tehsil Garoth",2021-22,2,24083.0,65.0,24148.0,False,False,False,False,0,1,0
45,Bhopal,"Buddhist Cave No.01 to 51, Dhamnar, Tehsil Garoth",2022-23,3,31137.0,65.0,31202.0,False,False,False,False,0,0,1
45,Bhopal,"Buddhist Cave No.01 to 51, Dhamnar, Tehsil Garoth",2023-24,4,33069.0,72.0,33141.0,False,False,False,False,0,0,1
45,Bhopal,"Buddhist Cave No.01 to 51, Dhamnar, Tehsil Garoth",2024-25,5,34804.0,134.0,34938.0,False,False,False,False,0,0,1
38,Bhopal,"Buddhist Caves Bagh, Mandu",2019-20,0,19920.0,42.0,19962.0,False,False,False,False,0,0,0
38,Bhopal,"Buddhist Caves Bagh, Mandu",2020-21,1,23692.0,0.0,23692.0,False,False,False,False,1,0,0
38,Bhopal,"Buddhist Caves Bagh, Mandu",2021-22,2,27260.0,1.0,27261.0,False,False,False,False,0,1,0
38,Bhopal,"Buddhist Caves Bagh, Mandu",2022-23,3,29056.0,6.0,29062.0,False,False,False,False,0,0,1
38,Bhopal,"Buddhist Caves Bagh, Mandu",2023-24,4,25369.0,26.0,25395.0,False,False,False,False,0,0,1
38,Bhopal,"Buddhist Caves Bagh, Mandu",2024-25,5,25091.0,59.0,25150.0,False,False,False,False,0,0,1
87,Mumbai,"Buddhist Caves, Kanheri",2019-20,0,401808.0,12106.0,413914.0,False,False,False,False,0,0,0
87,Mumbai,"Buddhist Caves, Kanheri",2020-21,1,213.0,0.0,213.0,False,False,False,False,1,0,0
87,Mumbai,"Buddhist Caves, Kanheri",2021-22,2,87182.0,576.0,87758.0,False,False,False,False,0,1,0
87,Mumbai,"Buddhist Caves, Kanheri",2022-23,3,327250.0,6063.0,333313.0,False,False,False,False,0,0,1
87,Mumbai,"Buddhist Caves, Kanheri",2023-24,4,380601.0,7571.0,388172.0,False,False,False,False,0,0,1
87,Mumbai,"Buddhist Caves, Kanheri",2024-25,5,385776.0,7685.0,393461.0,False,False,False,False,0,0,1
43,Bhopal,"Buddhist Monuments, Sanchi",2019-20,0,250706.0,3986.0,254692.0,False,False,False,False,0,0,0
43,Bhopal,"Buddhist Monuments, Sanchi",2020-21,1,58979.0,41.0,59020.0,False,False,False,False,1,0,0
43,Bhopal,"Buddhist Monuments, Sanchi",2021-22,2,118208.0,171.0,118379.0,False,False,False,False,0,1,0
43,Bhopal,"Buddhist Monuments, Sanchi",2022-23,3,266528.0,3457.0,269985.0,False,False,False,False,0,0,1
43,Bhopal,"Buddhist Monuments, Sanchi",2023-24,4,300068.0,11692.0,311760.0,False,False,False,False,0,0,1
43,Bhopal,"Buddhist Monuments, Sanchi",2024-25,5,296042.0,19490.0,315532.0,False,False,False,False,0,0,1
145,Amaravati,"Buddhist Remains, on hill top at Guntupalli W.G. District",2019-20,0,22353.0,85.0,22438.0,False,False,False,False,0,0,0
145,Amaravati,"Buddhist Remains, on hill top at Guntupalli W.G. District",2020-21,1,10219.0,10.0,10229.0,False,False,False,False,1,0,0
145,Amaravati,"Buddhist Remains, on hill top at Guntupalli W.G. District",2021-22,2,14134.0,22.0,14156.0,False,False,False,False,0,1,0
145,Amaravati,"Buddhist Remains, on hill top at Guntupalli W.G. District",2022-23,3,21603.0,66.0,21669.0,False,False,False,False,0,0,1
145,Amaravati,"Buddhist Remains, on hill top at Guntupalli W.G. District",2023-24,4,16626.0,35.0,16661.0,False,False,False,False,0,0,1
145,Amaravati,"Buddhist Remains, on hill top at Guntupalli W.G. District",2024-25,5,13754.0,47.0,13801.0,False,False,False,False,0,0,1
92,Mumbai,"Cave, Temple & Inscriptions, Bhaja",2019-20,0,80319.0,1872.0,82191.0,False,False,False,False,0,0,0
92,Mumbai,"Cave, Temple & Inscriptions, Bhaja",2020-21,1,10976.0,24.0,11000.0,False,False,False,False,1,0,0
92,Mumbai,"Cave, Temple & Inscriptions, Bhaja",2021-22,2,35790.0,81.0,35871.0,False,False,False,False,0,1,0
92,Mumbai,"Cave, Temple & Inscriptions, Bhaja",2022-23,3,89302.0,517.0,89819.0,False,False,False,False,0,0,1
92,Mumbai,"Cave, Temple & Inscriptions, Bhaja",2023-24,4,62666.0,413.0,63079.0,False,False,False,False,0,0,1
92,Mumbai,"Cave, Temple & Inscriptions, Bhaja",2024-25,5,55693.0,144.0,55837.0,False,False,False,False,0,0,1
